session_id,variant,run_label,timestamp,event_name,event_value,tab_name,data_source
20260413144331-NF8tkVm437,A,pilot,2026/4/13 14:43,session_start,assignment_mode=query_override;variant=A,Guide,simulated
20260413144331-NF8tkVm437,A,pilot,2026/4/13 14:43,landing_view,variant=A,Guide,simulated
20260413144331-NF8tkVm437,A,pilot,2026/4/13 14:43,session_end,duration_seconds=1.65,Guide,simulated
20260413144333-v7JD18FHY1,A,pilot,2026/4/13 14:43,session_start,assignment_mode=query_override;variant=A,Guide,simulated
20260413144333-v7JD18FHY1,A,pilot,2026/4/13 14:43,landing_view,variant=A,Guide,simulated
20260413144333-v7JD18FHY1,A,pilot,2026/4/13 14:43,sample_data_clicked,iris,Data,simulated
20260413144333-v7JD18FHY1,A,pilot,2026/4/13 14:43,first_key_action,sample_data_clicked:iris,Data,simulated
20260413144333-v7JD18FHY1,A,pilot,2026/4/13 14:43,cleaning_applied,Standardized column names.,Cleaning,simulated
20260413144333-v7JD18FHY1,A,pilot,2026/4/13 14:43,cleaning_applied,Standardized column names. | Removed 1 duplicate rows.,Cleaning,simulated
20260413144333-v7JD18FHY1,A,pilot,2026/4/13 14:43,feature_engineering_applied,sim_feature_A_2,Feature Engineering,simulated
20260413144333-v7JD18FHY1,A,pilot,2026/4/13 14:43,eda_generated,Histogram,EDA,simulated
20260413144333-v7JD18FHY1,A,pilot,2026/4/13 14:43,task_completed,dataset_loaded+cleaning+feature_engineering+eda,EDA,simulated
20260413144333-v7JD18FHY1,A,pilot,2026/4/13 14:43,eda_generated,plot_type=Histogram;plot_x=Sepal_Length;plot_y=Sepal_Length,EDA,simulated
20260413144333-v7JD18FHY1,A,pilot,2026/4/13 14:43,eda_generated,plot_type=Scatter plot;plot_x=Sepal_Length;plot_y=Sepal_Length,EDA,simulated
20260413144333-v7JD18FHY1,A,pilot,2026/4/13 14:43,eda_generated,plot_type=Scatter plot;plot_x=Sepal_Length;plot_y=Sepal_Width,EDA,simulated
20260413144333-v7JD18FHY1,A,pilot,2026/4/13 14:43,session_end,duration_seconds=4.92,EDA,simulated
20260413144338-CpXvSTH3w2,A,pilot,2026/4/13 14:43,session_start,assignment_mode=query_override;variant=A,Guide,simulated
20260413144338-CpXvSTH3w2,A,pilot,2026/4/13 14:43,landing_view,variant=A,Guide,simulated
20260413144338-CpXvSTH3w2,A,pilot,2026/4/13 14:43,cleaning_applied,Standardized column names.,Cleaning,simulated
20260413144338-CpXvSTH3w2,A,pilot,2026/4/13 14:43,first_key_action,cleaning_applied,Cleaning,simulated
20260413144338-CpXvSTH3w2,A,pilot,2026/4/13 14:43,cleaning_applied,Standardized column names. | No date-like columns were detected.,Cleaning,simulated
20260413144338-CpXvSTH3w2,A,pilot,2026/4/13 14:43,feature_engineering_applied,sim_feature_A_3,Feature Engineering,simulated
20260413144338-CpXvSTH3w2,A,pilot,2026/4/13 14:43,eda_generated,Histogram,EDA,simulated
20260413144338-CpXvSTH3w2,A,pilot,2026/4/13 14:43,task_completed,dataset_loaded+cleaning+feature_engineering+eda,EDA,simulated
20260413144338-CpXvSTH3w2,A,pilot,2026/4/13 14:43,eda_generated,plot_type=Histogram;plot_x=Ozone;plot_y=Ozone,EDA,simulated
20260413144338-CpXvSTH3w2,A,pilot,2026/4/13 14:43,session_end,duration_seconds=4.82,EDA,simulated
20260413144343-mIlS7msNSj,A,pilot,2026/4/13 14:43,session_start,assignment_mode=query_override;variant=A,Guide,simulated
20260413144343-mIlS7msNSj,A,pilot,2026/4/13 14:43,landing_view,variant=A,Guide,simulated
20260413144343-mIlS7msNSj,A,pilot,2026/4/13 14:43,session_end,duration_seconds=2.17,Data,simulated
20260413144346-xMZgRbkZCj,A,pilot,2026/4/13 14:43,session_start,assignment_mode=query_override;variant=A,Guide,simulated
20260413144346-xMZgRbkZCj,A,pilot,2026/4/13 14:43,landing_view,variant=A,Guide,simulated
20260413144346-xMZgRbkZCj,A,pilot,2026/4/13 14:43,cleaning_applied,Standardized column names.,Cleaning,simulated
20260413144346-xMZgRbkZCj,A,pilot,2026/4/13 14:43,first_key_action,cleaning_applied,Cleaning,simulated
20260413144346-xMZgRbkZCj,A,pilot,2026/4/13 14:43,cleaning_applied,Standardized column names. | No date-like columns were detected.,Cleaning,simulated
20260413144346-xMZgRbkZCj,A,pilot,2026/4/13 14:43,feature_engineering_applied,sim_feature_A_5,Feature Engineering,simulated
20260413144346-xMZgRbkZCj,A,pilot,2026/4/13 14:43,eda_generated,Histogram,EDA,simulated
20260413144346-xMZgRbkZCj,A,pilot,2026/4/13 14:43,task_completed,dataset_loaded+cleaning+feature_engineering+eda,EDA,simulated
